Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,100,198965,27650,464818,"161199,14","69,00%",",2","12,13","57715,8"
get Workspace,83,12950,3711,56125,"9551,48","72,29%",",2","0,10","451,0"
Tear Down,52,75692,37408,299614,"50615,51","100,00%",",2","0,11","678,7"
Create projects AddMenbers,52,17960,3611,402503,"54278,33","73,08%",",1","0,08","710,8"
Get person 1,51,21384,3625,405081,"55133,50","1,96%",",1","0,26","2220,5"
Get person 2,50,15988,3733,110452,"19023,45","0,00%",",2","0,38","2053,4"
Add Member Ships,50,17461,3676,102801,"21717,47","84,00%",",2","0,12","638,8"
Add Member Ship person B,50,10626,3873,50229,"10331,97","90,00%",",2","0,10","562,7"
Debug Sampler,99,0,0,1,"0,39","0,00%",",4","0,22","627,4"
create story In Projects Sprint,247,12454,2975,341908,"23705,68","90,69%",",6","0,39","630,3"
GetAllStories,49,9202,5373,28944,"4965,69","81,63%",",2","0,18","876,3"
delete Projects,1327,3879,476,64750,"4440,05","99,77%","4,9","2,22","461,2"
uptade Stories,11,9771,5775,16426,"3495,03","36,36%",",1","0,12","907,5"
TOTAL,2221,17073,0,464818,"56225,64","85,50%","4,8","14,79","3169,8"
