Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
get Projects,1,1265,1265,1265,"0,00","0,00%",",8","4,04","5232,0"
get Workspace,1,235,235,235,"0,00","0,00%","4,3","3,40","819,0"
delete Projects,6,392,304,713,"144,50","0,00%","2,5","1,79","721,3"
Tear Down,1,3855,3855,3855,"0,00","0,00%",",3","2,63","10379,0"
Create projects AddMenbers,1,451,451,451,"0,00","0,00%","2,2","3,47","1601,0"
Get person 1,1,698,698,698,"0,00","0,00%","1,4","1,97","1410,0"
Add Member Ships,1,437,437,437,"0,00","0,00%","2,3","2,81","1259,0"
Debug Sampler,1,0,0,0,"0,00","0,00%",",0","0,00","698,0"
create story In Projects Sprint,5,488,385,791,"152,74","0,00%","2,0","2,42","1212,6"
TOTAL,18,652,0,3855,"819,95","0,00%","2,3","3,93","1766,1"
