Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
"get Projects,1,1309,1309,1309,""0,00"",""0,00%"","",8"",""3,91"",""5244,0"""
"get Workspace,1,232,232,232,""0,00"",""0,00%"",""4,3"",""3,45"",""819,0"""
"delete Projects,6,392,318,609,""100,23"",""100,00%"",""2,5"",""1,38"",""553,5"""
"Tear Down,1,3893,3893,3893,""0,00"",""100,00%"","",3"",""2,35"",""9384,0"""
"Create projects A,1,390,390,390,""0,00"",""0,00%"",""2,6"",""4,01"",""1601,0"""
"create story In Projects Sprint,5,502,372,894,""196,79"",""0,00%"",""2,0"",""2,33"",""1199,6"""
"GetAllStories,1,658,658,658,""0,00"",""0,00%"",""1,5"",""3,96"",""2667,0"""
"uptade Stories,5,512,391,836,""167,31"",""0,00%"",""2,0"",""2,82"",""1477,8"""
"uptade Stories with comments,5,511,403,790,""142,74"",""0,00%"",""2,0"",""2,06"",""1080,0"""
"Delete Comments,1,352,352,352,""0,00"",""0,00%"",""2,8"",""2,00"",""722,0"""
"Debug Sampler,1,0,0,0,""0,00"",""0,00%"","",0"",""0,00"",""917,0"""
"TOTAL,28,600,0,3893,""676,96"",""25,00%"",""2,2"",""3,28"",""1552,2"""
